"","Gene1","Gene2"
"1","Gene 1","Gene 4"
"2","Gene 1","Gene 11"
"3","Gene 1","Gene 12"
"4","Gene 1","Gene 15"
"5","Gene 1","Gene 19"
"6","Gene 1","Gene 23"
"7","Gene 1","Gene 29"
"8","Gene 1","Gene 33"
"9","Gene 1","Gene 36"
"10","Gene 1","Gene 41"
"11","Gene 1","Gene 42"
"12","Gene 1","Gene 45"
"13","Gene 1","Gene 47"
"14","Gene 1","Gene 49"
"15","Gene 1","Gene 50"
"16","Gene 1","Gene 52"
"17","Gene 1","Gene 55"
"18","Gene 1","Gene 60"
"19","Gene 1","Gene 64"
"20","Gene 1","Gene 69"
"21","Gene 1","Gene 71"
"22","Gene 1","Gene 74"
"23","Gene 1","Gene 80"
"24","Gene 1","Gene 90"
"25","Gene 1","Gene 91"
"26","Gene 2","Gene 8"
"27","Gene 2","Gene 10"
"28","Gene 2","Gene 13"
"29","Gene 2","Gene 14"
"30","Gene 2","Gene 17"
"31","Gene 2","Gene 19"
"32","Gene 2","Gene 24"
"33","Gene 2","Gene 26"
"34","Gene 2","Gene 32"
"35","Gene 2","Gene 33"
"36","Gene 2","Gene 35"
"37","Gene 2","Gene 36"
"38","Gene 2","Gene 39"
"39","Gene 2","Gene 41"
"40","Gene 2","Gene 44"
"41","Gene 2","Gene 45"
"42","Gene 2","Gene 47"
"43","Gene 2","Gene 48"
"44","Gene 2","Gene 51"
"45","Gene 2","Gene 58"
"46","Gene 2","Gene 61"
"47","Gene 2","Gene 62"
"48","Gene 2","Gene 66"
"49","Gene 2","Gene 67"
"50","Gene 2","Gene 71"
"51","Gene 2","Gene 81"
"52","Gene 2","Gene 82"
"53","Gene 2","Gene 83"
"54","Gene 2","Gene 86"
"55","Gene 2","Gene 89"
"56","Gene 2","Gene 90"
"57","Gene 2","Gene 97"
"58","Gene 3","Gene 4"
"59","Gene 3","Gene 19"
"60","Gene 3","Gene 22"
"61","Gene 3","Gene 23"
"62","Gene 3","Gene 29"
"63","Gene 3","Gene 31"
"64","Gene 3","Gene 33"
"65","Gene 3","Gene 35"
"66","Gene 3","Gene 38"
"67","Gene 3","Gene 39"
"68","Gene 3","Gene 41"
"69","Gene 3","Gene 42"
"70","Gene 3","Gene 45"
"71","Gene 3","Gene 55"
"72","Gene 3","Gene 60"
"73","Gene 3","Gene 63"
"74","Gene 3","Gene 65"
"75","Gene 3","Gene 67"
"76","Gene 3","Gene 69"
"77","Gene 3","Gene 70"
"78","Gene 3","Gene 71"
"79","Gene 3","Gene 74"
"80","Gene 3","Gene 76"
"81","Gene 3","Gene 84"
"82","Gene 3","Gene 86"
"83","Gene 3","Gene 92"
"84","Gene 3","Gene 94"
"85","Gene 3","Gene 96"
"86","Gene 4","Gene 1"
"87","Gene 4","Gene 3"
"88","Gene 4","Gene 8"
"89","Gene 4","Gene 10"
"90","Gene 4","Gene 12"
"91","Gene 4","Gene 13"
"92","Gene 4","Gene 20"
"93","Gene 4","Gene 24"
"94","Gene 4","Gene 28"
"95","Gene 4","Gene 36"
"96","Gene 4","Gene 41"
"97","Gene 4","Gene 58"
"98","Gene 4","Gene 60"
"99","Gene 4","Gene 67"
"100","Gene 4","Gene 73"
"101","Gene 4","Gene 78"
"102","Gene 4","Gene 82"
"103","Gene 4","Gene 88"
"104","Gene 4","Gene 95"
"105","Gene 5","Gene 10"
"106","Gene 5","Gene 18"
"107","Gene 5","Gene 24"
"108","Gene 5","Gene 25"
"109","Gene 5","Gene 26"
"110","Gene 5","Gene 29"
"111","Gene 5","Gene 32"
"112","Gene 5","Gene 36"
"113","Gene 5","Gene 51"
"114","Gene 5","Gene 54"
"115","Gene 5","Gene 55"
"116","Gene 5","Gene 56"
"117","Gene 5","Gene 61"
"118","Gene 5","Gene 66"
"119","Gene 5","Gene 67"
"120","Gene 5","Gene 69"
"121","Gene 5","Gene 73"
"122","Gene 5","Gene 77"
"123","Gene 5","Gene 78"
"124","Gene 5","Gene 86"
"125","Gene 5","Gene 89"
"126","Gene 5","Gene 92"
"127","Gene 5","Gene 93"
"128","Gene 5","Gene 96"
"129","Gene 5","Gene 99"
"130","Gene 6","Gene 11"
"131","Gene 6","Gene 12"
"132","Gene 6","Gene 15"
"133","Gene 6","Gene 18"
"134","Gene 6","Gene 21"
"135","Gene 6","Gene 28"
"136","Gene 6","Gene 34"
"137","Gene 6","Gene 35"
"138","Gene 6","Gene 36"
"139","Gene 6","Gene 37"
"140","Gene 6","Gene 41"
"141","Gene 6","Gene 44"
"142","Gene 6","Gene 45"
"143","Gene 6","Gene 57"
"144","Gene 6","Gene 58"
"145","Gene 6","Gene 59"
"146","Gene 6","Gene 61"
"147","Gene 6","Gene 64"
"148","Gene 6","Gene 73"
"149","Gene 6","Gene 81"
"150","Gene 6","Gene 83"
"151","Gene 6","Gene 84"
"152","Gene 6","Gene 94"
"153","Gene 6","Gene 97"
"154","Gene 6","Gene 100"
"155","Gene 7","Gene 8"
"156","Gene 7","Gene 10"
"157","Gene 7","Gene 11"
"158","Gene 7","Gene 16"
"159","Gene 7","Gene 21"
"160","Gene 7","Gene 25"
"161","Gene 7","Gene 26"
"162","Gene 7","Gene 28"
"163","Gene 7","Gene 31"
"164","Gene 7","Gene 32"
"165","Gene 7","Gene 35"
"166","Gene 7","Gene 36"
"167","Gene 7","Gene 38"
"168","Gene 7","Gene 40"
"169","Gene 7","Gene 41"
"170","Gene 7","Gene 47"
"171","Gene 7","Gene 48"
"172","Gene 7","Gene 51"
"173","Gene 7","Gene 56"
"174","Gene 7","Gene 58"
"175","Gene 7","Gene 59"
"176","Gene 7","Gene 68"
"177","Gene 7","Gene 69"
"178","Gene 7","Gene 79"
"179","Gene 7","Gene 80"
"180","Gene 7","Gene 85"
"181","Gene 7","Gene 88"
"182","Gene 7","Gene 89"
"183","Gene 7","Gene 90"
"184","Gene 7","Gene 92"
"185","Gene 7","Gene 93"
"186","Gene 7","Gene 94"
"187","Gene 7","Gene 96"
"188","Gene 7","Gene 98"
"189","Gene 7","Gene 100"
"190","Gene 8","Gene 2"
"191","Gene 8","Gene 4"
"192","Gene 8","Gene 7"
"193","Gene 8","Gene 10"
"194","Gene 8","Gene 11"
"195","Gene 8","Gene 17"
"196","Gene 8","Gene 20"
"197","Gene 8","Gene 21"
"198","Gene 8","Gene 27"
"199","Gene 8","Gene 28"
"200","Gene 8","Gene 29"
"201","Gene 8","Gene 30"
"202","Gene 8","Gene 31"
"203","Gene 8","Gene 35"
"204","Gene 8","Gene 38"
"205","Gene 8","Gene 42"
"206","Gene 8","Gene 44"
"207","Gene 8","Gene 45"
"208","Gene 8","Gene 47"
"209","Gene 8","Gene 51"
"210","Gene 8","Gene 52"
"211","Gene 8","Gene 59"
"212","Gene 8","Gene 60"
"213","Gene 8","Gene 63"
"214","Gene 8","Gene 65"
"215","Gene 8","Gene 68"
"216","Gene 8","Gene 69"
"217","Gene 8","Gene 70"
"218","Gene 8","Gene 71"
"219","Gene 8","Gene 72"
"220","Gene 8","Gene 73"
"221","Gene 8","Gene 74"
"222","Gene 8","Gene 79"
"223","Gene 8","Gene 85"
"224","Gene 8","Gene 87"
"225","Gene 8","Gene 90"
"226","Gene 8","Gene 95"
"227","Gene 8","Gene 96"
"228","Gene 9","Gene 11"
"229","Gene 9","Gene 12"
"230","Gene 9","Gene 16"
"231","Gene 9","Gene 19"
"232","Gene 9","Gene 21"
"233","Gene 9","Gene 22"
"234","Gene 9","Gene 23"
"235","Gene 9","Gene 24"
"236","Gene 9","Gene 26"
"237","Gene 9","Gene 27"
"238","Gene 9","Gene 28"
"239","Gene 9","Gene 31"
"240","Gene 9","Gene 37"
"241","Gene 9","Gene 43"
"242","Gene 9","Gene 48"
"243","Gene 9","Gene 59"
"244","Gene 9","Gene 60"
"245","Gene 9","Gene 61"
"246","Gene 9","Gene 70"
"247","Gene 9","Gene 71"
"248","Gene 9","Gene 75"
"249","Gene 9","Gene 78"
"250","Gene 9","Gene 80"
"251","Gene 9","Gene 82"
"252","Gene 9","Gene 89"
"253","Gene 9","Gene 92"
"254","Gene 9","Gene 95"
"255","Gene 9","Gene 97"
"256","Gene 9","Gene 100"
"257","Gene 10","Gene 2"
"258","Gene 10","Gene 4"
"259","Gene 10","Gene 5"
"260","Gene 10","Gene 7"
"261","Gene 10","Gene 8"
"262","Gene 10","Gene 21"
"263","Gene 10","Gene 23"
"264","Gene 10","Gene 25"
"265","Gene 10","Gene 32"
"266","Gene 10","Gene 34"
"267","Gene 10","Gene 35"
"268","Gene 10","Gene 38"
"269","Gene 10","Gene 39"
"270","Gene 10","Gene 40"
"271","Gene 10","Gene 44"
"272","Gene 10","Gene 45"
"273","Gene 10","Gene 50"
"274","Gene 10","Gene 52"
"275","Gene 10","Gene 56"
"276","Gene 10","Gene 66"
"277","Gene 10","Gene 69"
"278","Gene 10","Gene 71"
"279","Gene 10","Gene 72"
"280","Gene 10","Gene 76"
"281","Gene 10","Gene 80"
"282","Gene 10","Gene 81"
"283","Gene 10","Gene 84"
"284","Gene 10","Gene 85"
"285","Gene 10","Gene 86"
"286","Gene 10","Gene 91"
"287","Gene 10","Gene 93"
"288","Gene 10","Gene 95"
"289","Gene 10","Gene 100"
"290","Gene 11","Gene 1"
"291","Gene 11","Gene 6"
"292","Gene 11","Gene 7"
"293","Gene 11","Gene 8"
"294","Gene 11","Gene 9"
"295","Gene 11","Gene 12"
"296","Gene 11","Gene 15"
"297","Gene 11","Gene 25"
"298","Gene 11","Gene 47"
"299","Gene 11","Gene 48"
"300","Gene 11","Gene 49"
"301","Gene 11","Gene 51"
"302","Gene 11","Gene 57"
"303","Gene 11","Gene 63"
"304","Gene 11","Gene 64"
"305","Gene 11","Gene 65"
"306","Gene 11","Gene 66"
"307","Gene 11","Gene 67"
"308","Gene 11","Gene 69"
"309","Gene 11","Gene 77"
"310","Gene 11","Gene 82"
"311","Gene 11","Gene 83"
"312","Gene 11","Gene 85"
"313","Gene 11","Gene 92"
"314","Gene 11","Gene 94"
"315","Gene 12","Gene 1"
"316","Gene 12","Gene 4"
"317","Gene 12","Gene 6"
"318","Gene 12","Gene 9"
"319","Gene 12","Gene 11"
"320","Gene 12","Gene 14"
"321","Gene 12","Gene 15"
"322","Gene 12","Gene 22"
"323","Gene 12","Gene 24"
"324","Gene 12","Gene 25"
"325","Gene 12","Gene 27"
"326","Gene 12","Gene 29"
"327","Gene 12","Gene 31"
"328","Gene 12","Gene 34"
"329","Gene 12","Gene 35"
"330","Gene 12","Gene 38"
"331","Gene 12","Gene 40"
"332","Gene 12","Gene 45"
"333","Gene 12","Gene 46"
"334","Gene 12","Gene 50"
"335","Gene 12","Gene 51"
"336","Gene 12","Gene 52"
"337","Gene 12","Gene 57"
"338","Gene 12","Gene 58"
"339","Gene 12","Gene 59"
"340","Gene 12","Gene 60"
"341","Gene 12","Gene 64"
"342","Gene 12","Gene 67"
"343","Gene 12","Gene 68"
"344","Gene 12","Gene 72"
"345","Gene 12","Gene 75"
"346","Gene 12","Gene 79"
"347","Gene 12","Gene 84"
"348","Gene 12","Gene 95"
"349","Gene 13","Gene 2"
"350","Gene 13","Gene 4"
"351","Gene 13","Gene 19"
"352","Gene 13","Gene 22"
"353","Gene 13","Gene 33"
"354","Gene 13","Gene 35"
"355","Gene 13","Gene 37"
"356","Gene 13","Gene 40"
"357","Gene 13","Gene 42"
"358","Gene 13","Gene 46"
"359","Gene 13","Gene 47"
"360","Gene 13","Gene 49"
"361","Gene 13","Gene 52"
"362","Gene 13","Gene 56"
"363","Gene 13","Gene 58"
"364","Gene 13","Gene 60"
"365","Gene 13","Gene 63"
"366","Gene 13","Gene 64"
"367","Gene 13","Gene 66"
"368","Gene 13","Gene 70"
"369","Gene 13","Gene 78"
"370","Gene 13","Gene 79"
"371","Gene 13","Gene 80"
"372","Gene 13","Gene 83"
"373","Gene 13","Gene 86"
"374","Gene 13","Gene 90"
"375","Gene 13","Gene 91"
"376","Gene 13","Gene 94"
"377","Gene 13","Gene 95"
"378","Gene 14","Gene 2"
"379","Gene 14","Gene 12"
"380","Gene 14","Gene 17"
"381","Gene 14","Gene 18"
"382","Gene 14","Gene 19"
"383","Gene 14","Gene 20"
"384","Gene 14","Gene 24"
"385","Gene 14","Gene 29"
"386","Gene 14","Gene 31"
"387","Gene 14","Gene 32"
"388","Gene 14","Gene 34"
"389","Gene 14","Gene 35"
"390","Gene 14","Gene 37"
"391","Gene 14","Gene 38"
"392","Gene 14","Gene 42"
"393","Gene 14","Gene 43"
"394","Gene 14","Gene 49"
"395","Gene 14","Gene 51"
"396","Gene 14","Gene 57"
"397","Gene 14","Gene 68"
"398","Gene 14","Gene 69"
"399","Gene 14","Gene 71"
"400","Gene 14","Gene 72"
"401","Gene 14","Gene 74"
"402","Gene 14","Gene 75"
"403","Gene 14","Gene 77"
"404","Gene 14","Gene 79"
"405","Gene 14","Gene 99"
"406","Gene 15","Gene 1"
"407","Gene 15","Gene 6"
"408","Gene 15","Gene 11"
"409","Gene 15","Gene 12"
"410","Gene 15","Gene 19"
"411","Gene 15","Gene 20"
"412","Gene 15","Gene 23"
"413","Gene 15","Gene 24"
"414","Gene 15","Gene 27"
"415","Gene 15","Gene 28"
"416","Gene 15","Gene 29"
"417","Gene 15","Gene 33"
"418","Gene 15","Gene 34"
"419","Gene 15","Gene 36"
"420","Gene 15","Gene 42"
"421","Gene 15","Gene 46"
"422","Gene 15","Gene 53"
"423","Gene 15","Gene 55"
"424","Gene 15","Gene 56"
"425","Gene 15","Gene 61"
"426","Gene 15","Gene 67"
"427","Gene 15","Gene 68"
"428","Gene 15","Gene 76"
"429","Gene 15","Gene 78"
"430","Gene 15","Gene 83"
"431","Gene 15","Gene 85"
"432","Gene 15","Gene 88"
"433","Gene 15","Gene 90"
"434","Gene 15","Gene 95"
"435","Gene 15","Gene 96"
"436","Gene 15","Gene 97"
"437","Gene 16","Gene 7"
"438","Gene 16","Gene 9"
"439","Gene 16","Gene 17"
"440","Gene 16","Gene 19"
"441","Gene 16","Gene 20"
"442","Gene 16","Gene 25"
"443","Gene 16","Gene 27"
"444","Gene 16","Gene 30"
"445","Gene 16","Gene 32"
"446","Gene 16","Gene 42"
"447","Gene 16","Gene 46"
"448","Gene 16","Gene 49"
"449","Gene 16","Gene 50"
"450","Gene 16","Gene 53"
"451","Gene 16","Gene 55"
"452","Gene 16","Gene 57"
"453","Gene 16","Gene 60"
"454","Gene 16","Gene 62"
"455","Gene 16","Gene 65"
"456","Gene 16","Gene 69"
"457","Gene 16","Gene 71"
"458","Gene 16","Gene 75"
"459","Gene 16","Gene 87"
"460","Gene 16","Gene 88"
"461","Gene 16","Gene 94"
"462","Gene 16","Gene 95"
"463","Gene 16","Gene 96"
"464","Gene 16","Gene 97"
"465","Gene 16","Gene 98"
"466","Gene 17","Gene 2"
"467","Gene 17","Gene 8"
"468","Gene 17","Gene 14"
"469","Gene 17","Gene 16"
"470","Gene 17","Gene 18"
"471","Gene 17","Gene 20"
"472","Gene 17","Gene 23"
"473","Gene 17","Gene 26"
"474","Gene 17","Gene 27"
"475","Gene 17","Gene 31"
"476","Gene 17","Gene 35"
"477","Gene 17","Gene 49"
"478","Gene 17","Gene 52"
"479","Gene 17","Gene 53"
"480","Gene 17","Gene 55"
"481","Gene 17","Gene 56"
"482","Gene 17","Gene 57"
"483","Gene 17","Gene 60"
"484","Gene 17","Gene 61"
"485","Gene 17","Gene 72"
"486","Gene 17","Gene 73"
"487","Gene 17","Gene 74"
"488","Gene 17","Gene 77"
"489","Gene 17","Gene 78"
"490","Gene 17","Gene 80"
"491","Gene 17","Gene 84"
"492","Gene 17","Gene 87"
"493","Gene 17","Gene 90"
"494","Gene 17","Gene 97"
"495","Gene 17","Gene 99"
"496","Gene 18","Gene 5"
"497","Gene 18","Gene 6"
"498","Gene 18","Gene 14"
"499","Gene 18","Gene 17"
"500","Gene 18","Gene 25"
"501","Gene 18","Gene 34"
"502","Gene 18","Gene 35"
"503","Gene 18","Gene 36"
"504","Gene 18","Gene 39"
"505","Gene 18","Gene 42"
"506","Gene 18","Gene 43"
"507","Gene 18","Gene 48"
"508","Gene 18","Gene 55"
"509","Gene 18","Gene 56"
"510","Gene 18","Gene 57"
"511","Gene 18","Gene 59"
"512","Gene 18","Gene 60"
"513","Gene 18","Gene 66"
"514","Gene 18","Gene 67"
"515","Gene 18","Gene 68"
"516","Gene 18","Gene 74"
"517","Gene 18","Gene 78"
"518","Gene 18","Gene 80"
"519","Gene 18","Gene 84"
"520","Gene 18","Gene 93"
"521","Gene 18","Gene 94"
"522","Gene 18","Gene 99"
"523","Gene 19","Gene 1"
"524","Gene 19","Gene 2"
"525","Gene 19","Gene 3"
"526","Gene 19","Gene 9"
"527","Gene 19","Gene 13"
"528","Gene 19","Gene 14"
"529","Gene 19","Gene 15"
"530","Gene 19","Gene 16"
"531","Gene 19","Gene 20"
"532","Gene 19","Gene 23"
"533","Gene 19","Gene 24"
"534","Gene 19","Gene 26"
"535","Gene 19","Gene 30"
"536","Gene 19","Gene 33"
"537","Gene 19","Gene 35"
"538","Gene 19","Gene 39"
"539","Gene 19","Gene 53"
"540","Gene 19","Gene 57"
"541","Gene 19","Gene 59"
"542","Gene 19","Gene 60"
"543","Gene 19","Gene 65"
"544","Gene 19","Gene 69"
"545","Gene 19","Gene 70"
"546","Gene 19","Gene 77"
"547","Gene 19","Gene 87"
"548","Gene 19","Gene 91"
"549","Gene 19","Gene 92"
"550","Gene 19","Gene 94"
"551","Gene 19","Gene 95"
"552","Gene 20","Gene 4"
"553","Gene 20","Gene 8"
"554","Gene 20","Gene 14"
"555","Gene 20","Gene 15"
"556","Gene 20","Gene 16"
"557","Gene 20","Gene 17"
"558","Gene 20","Gene 19"
"559","Gene 20","Gene 23"
"560","Gene 20","Gene 24"
"561","Gene 20","Gene 25"
"562","Gene 20","Gene 26"
"563","Gene 20","Gene 27"
"564","Gene 20","Gene 29"
"565","Gene 20","Gene 52"
"566","Gene 20","Gene 58"
"567","Gene 20","Gene 66"
"568","Gene 20","Gene 68"
"569","Gene 20","Gene 71"
"570","Gene 20","Gene 82"
"571","Gene 20","Gene 86"
"572","Gene 20","Gene 91"
"573","Gene 20","Gene 92"
"574","Gene 20","Gene 95"
"575","Gene 20","Gene 96"
"576","Gene 20","Gene 97"
"577","Gene 21","Gene 6"
"578","Gene 21","Gene 7"
"579","Gene 21","Gene 8"
"580","Gene 21","Gene 9"
"581","Gene 21","Gene 10"
"582","Gene 21","Gene 22"
"583","Gene 21","Gene 28"
"584","Gene 21","Gene 30"
"585","Gene 21","Gene 32"
"586","Gene 21","Gene 41"
"587","Gene 21","Gene 44"
"588","Gene 21","Gene 45"
"589","Gene 21","Gene 48"
"590","Gene 21","Gene 49"
"591","Gene 21","Gene 50"
"592","Gene 21","Gene 55"
"593","Gene 21","Gene 56"
"594","Gene 21","Gene 60"
"595","Gene 21","Gene 61"
"596","Gene 21","Gene 63"
"597","Gene 21","Gene 65"
"598","Gene 21","Gene 67"
"599","Gene 21","Gene 70"
"600","Gene 21","Gene 78"
"601","Gene 21","Gene 84"
"602","Gene 21","Gene 88"
"603","Gene 21","Gene 90"
"604","Gene 21","Gene 93"
"605","Gene 21","Gene 94"
"606","Gene 21","Gene 95"
"607","Gene 21","Gene 97"
"608","Gene 21","Gene 98"
"609","Gene 22","Gene 3"
"610","Gene 22","Gene 9"
"611","Gene 22","Gene 12"
"612","Gene 22","Gene 13"
"613","Gene 22","Gene 21"
"614","Gene 22","Gene 26"
"615","Gene 22","Gene 27"
"616","Gene 22","Gene 31"
"617","Gene 22","Gene 35"
"618","Gene 22","Gene 36"
"619","Gene 22","Gene 38"
"620","Gene 22","Gene 46"
"621","Gene 22","Gene 48"
"622","Gene 22","Gene 51"
"623","Gene 22","Gene 55"
"624","Gene 22","Gene 57"
"625","Gene 22","Gene 58"
"626","Gene 22","Gene 62"
"627","Gene 22","Gene 68"
"628","Gene 22","Gene 72"
"629","Gene 22","Gene 75"
"630","Gene 22","Gene 79"
"631","Gene 22","Gene 81"
"632","Gene 22","Gene 85"
"633","Gene 22","Gene 86"
"634","Gene 22","Gene 87"
"635","Gene 22","Gene 91"
"636","Gene 22","Gene 93"
"637","Gene 22","Gene 95"
"638","Gene 22","Gene 96"
"639","Gene 22","Gene 99"
"640","Gene 23","Gene 1"
"641","Gene 23","Gene 3"
"642","Gene 23","Gene 9"
"643","Gene 23","Gene 10"
"644","Gene 23","Gene 15"
