"","Gene 1","Gene 2","Gene 3","Gene 4","Gene 5","Gene 6","Gene 7","Gene 8","Gene 9","Gene 10","Gene 11","Gene 12","Gene 13","Gene 14","Gene 15","Gene 16","Gene 17","Gene 18","Gene 19","Gene 20","Gene 21","Gene 22","Gene 23","Gene 24","Gene 25","Gene 26","Gene 27","Gene 28","Gene 29","Gene 30","Gene 31","Gene 32","Gene 33","Gene 34","Gene 35","Gene 36","Gene 37","Gene 38","Gene 39","Gene 40","Gene 41","Gene 42","Gene 43","Gene 44","Gene 45","Gene 46","Gene 47","Gene 48","Gene 49","Gene 50","Gene 51","Gene 52","Gene 53","Gene 54","Gene 55","Gene 56","Gene 57","Gene 58","Gene 59","Gene 60","Gene 61","Gene 62","Gene 63","Gene 64","Gene 65","Gene 66","Gene 67","Gene 68","Gene 69","Gene 70","Gene 71","Gene 72","Gene 73","Gene 74","Gene 75","Gene 76","Gene 77","Gene 78","Gene 79","Gene 80","Gene 81","Gene 82","Gene 83","Gene 84","Gene 85","Gene 86","Gene 87","Gene 88","Gene 89","Gene 90","Gene 91","Gene 92","Gene 93","Gene 94","Gene 95","Gene 96","Gene 97","Gene 98","Gene 99","Gene 100"
"Cell 1",22,35,23,27,14,15,16,13,33,4,14,14,22,2,0,18,15,12,16,87,42,31,8,7,26,10,4,7,6,20,0,15,5,19,0,4,9,18,41,10,13,3,11,6,5,5,0,3,15,0,1,0,0,9,0,3,0,19,9,19,14,0,4,10,0,0,2,2,1,0,7,4,0,0,14,2,0,9,0,7,0,0,2,13,0,0,9,23,0,2,0,0,2,0,0,0,0,0,0,0
"Cell 2",17,21,8,19,14,9,37,10,27,10,24,27,16,5,0,23,11,6,22,46,42,22,5,5,27,10,3,20,29,4,0,8,14,20,0,11,11,15,14,16,12,17,7,12,6,3,0,9,12,0,1,0,0,24,6,0,6,24,26,28,14,0,9,5,0,0,7,2,5,0,14,0,2,0,15,8,0,10,0,7,1,0,5,10,0,0,10,27,0,6,0,0,0,0,0,0,0,0,0,0
"Cell 3",10,14,6,29,16,6,17,2,20,1,21,6,32,16,0,11,10,25,8,66,22,53,7,23,48,12,0,15,14,8,0,4,19,11,0,1,3,7,30,29,36,4,14,22,7,14,0,7,20,0,6,0,0,9,3,11,0,25,8,30,5,0,19,2,0,1,9,0,0,0,2,5,0,0,7,9,0,6,0,26,0,1,4,5,5,0,26,27,0,6,1,0,0,0,0,0,0,0,2,0
"Cell 4",25,24,22,15,15,8,41,13,34,5,15,7,35,8,0,15,17,16,13,99,23,42,10,18,23,11,3,14,6,15,0,9,8,9,2,2,10,15,39,10,13,7,15,12,8,20,3,7,6,0,8,0,0,2,0,4,3,14,6,14,17,0,4,5,1,0,8,0,0,0,7,0,1,0,10,11,0,10,0,4,0,0,0,2,2,0,11,16,0,5,1,1,0,1,0,0,0,0,0,0
"Cell 5",30,34,13,55,15,15,39,13,31,5,30,23,15,14,3,14,31,13,25,60,52,28,7,3,24,3,9,11,11,20,0,6,6,16,0,15,9,27,21,14,4,10,6,14,8,2,0,5,18,0,4,0,3,11,8,7,9,19,19,27,19,0,0,5,0,2,1,0,1,0,16,0,0,5,29,6,0,0,0,3,1,0,3,20,0,0,5,9,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 6",21,36,27,29,9,6,15,20,24,1,22,18,15,8,0,24,19,12,20,82,32,35,10,9,24,4,1,6,17,15,0,10,10,16,0,11,8,11,27,17,17,13,10,10,2,6,2,3,9,4,6,0,0,10,0,5,3,15,14,25,21,0,6,7,0,0,1,1,0,0,10,0,2,0,25,3,0,2,0,14,0,1,6,9,0,0,9,13,0,1,0,0,0,0,0,0,0,0,0,0
"Cell 7",33,34,26,27,22,9,40,8,42,34,23,24,12,15,2,13,20,13,24,82,29,12,1,18,22,10,10,3,13,6,0,9,1,24,0,12,9,34,34,5,9,14,13,7,3,5,0,11,8,0,2,0,0,11,5,0,9,29,9,35,21,0,5,7,0,0,4,0,0,0,9,6,2,0,19,1,0,4,0,0,5,0,6,5,0,0,9,17,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 8",22,24,18,14,11,19,30,20,58,8,22,21,5,17,4,19,15,6,23,49,32,23,6,24,32,8,15,3,14,16,0,10,10,17,0,17,20,28,29,15,9,11,3,9,9,2,0,14,15,0,6,0,0,15,2,0,7,21,23,30,23,0,3,5,0,1,3,0,0,0,8,0,2,0,18,11,0,1,0,9,3,0,12,12,0,0,10,18,0,11,0,0,0,0,0,0,0,2,0,0
"Cell 9",21,32,16,34,23,7,21,16,47,14,20,20,12,13,6,12,26,6,26,79,40,16,9,25,29,8,10,3,18,12,0,8,11,18,0,22,20,23,23,8,7,16,3,9,15,0,2,4,14,0,4,0,0,20,3,0,8,30,15,45,17,0,2,18,0,0,0,4,1,0,6,1,0,0,31,0,1,0,0,1,1,0,10,19,0,0,1,29,0,10,0,0,0,0,0,1,0,0,0,1
"Cell 10",23,49,24,15,37,19,24,11,29,16,26,14,23,7,0,7,13,17,14,66,32,21,7,6,12,2,14,13,22,9,0,7,8,18,1,5,7,36,47,10,7,9,6,5,26,6,0,4,7,5,4,0,0,8,3,3,1,10,15,39,21,0,15,9,0,0,4,0,1,0,2,1,0,0,23,8,0,1,0,9,0,0,4,11,0,0,4,4,0,3,4,0,0,0,0,0,0,0,0,0
