"","Gene1","Gene2"
"1","Gene 1","Gene 4"
"2","Gene 1","Gene 11"
"3","Gene 1","Gene 12"
"4","Gene 1","Gene 15"
"5","Gene 1","Gene 19"
"6","Gene 1","Gene 29"
"7","Gene 1","Gene 33"
"8","Gene 1","Gene 36"
"9","Gene 1","Gene 41"
"10","Gene 1","Gene 45"
"11","Gene 1","Gene 47"
"12","Gene 1","Gene 49"
"13","Gene 1","Gene 50"
"14","Gene 1","Gene 52"
"15","Gene 1","Gene 55"
"16","Gene 1","Gene 60"
"17","Gene 1","Gene 80"
"18","Gene 1","Gene 90"
"19","Gene 1","Gene 91"
"20","Gene 2","Gene 8"
"21","Gene 2","Gene 10"
"22","Gene 2","Gene 13"
"23","Gene 2","Gene 17"
"24","Gene 2","Gene 19"
"25","Gene 2","Gene 24"
"26","Gene 2","Gene 26"
"27","Gene 2","Gene 32"
"28","Gene 2","Gene 33"
"29","Gene 2","Gene 35"
"30","Gene 2","Gene 36"
"31","Gene 2","Gene 41"
"32","Gene 2","Gene 44"
"33","Gene 2","Gene 48"
"34","Gene 2","Gene 58"
"35","Gene 2","Gene 61"
"36","Gene 2","Gene 62"
"37","Gene 2","Gene 71"
"38","Gene 2","Gene 81"
"39","Gene 2","Gene 82"
"40","Gene 2","Gene 83"
"41","Gene 2","Gene 86"
"42","Gene 2","Gene 97"
"43","Gene 3","Gene 4"
"44","Gene 3","Gene 22"
"45","Gene 3","Gene 31"
"46","Gene 3","Gene 38"
"47","Gene 3","Gene 41"
"48","Gene 3","Gene 55"
"49","Gene 3","Gene 60"
"50","Gene 3","Gene 65"
"51","Gene 3","Gene 67"
"52","Gene 3","Gene 69"
"53","Gene 3","Gene 71"
"54","Gene 3","Gene 84"
"55","Gene 3","Gene 86"
"56","Gene 4","Gene 1"
"57","Gene 4","Gene 3"
"58","Gene 4","Gene 10"
"59","Gene 4","Gene 12"
"60","Gene 4","Gene 13"
"61","Gene 4","Gene 20"
"62","Gene 4","Gene 24"
"63","Gene 4","Gene 28"
"64","Gene 4","Gene 36"
"65","Gene 4","Gene 41"
"66","Gene 4","Gene 58"
"67","Gene 4","Gene 60"
"68","Gene 4","Gene 67"
"69","Gene 4","Gene 73"
"70","Gene 4","Gene 78"
"71","Gene 4","Gene 88"
"72","Gene 5","Gene 10"
"73","Gene 5","Gene 24"
"74","Gene 5","Gene 26"
"75","Gene 5","Gene 29"
"76","Gene 5","Gene 36"
"77","Gene 5","Gene 54"
"78","Gene 5","Gene 61"
"79","Gene 5","Gene 67"
"80","Gene 5","Gene 73"
"81","Gene 5","Gene 77"
"82","Gene 5","Gene 89"
"83","Gene 5","Gene 92"
"84","Gene 5","Gene 93"
"85","Gene 5","Gene 96"
"86","Gene 5","Gene 99"
"87","Gene 6","Gene 12"
"88","Gene 6","Gene 15"
"89","Gene 6","Gene 18"
"90","Gene 6","Gene 34"
"91","Gene 6","Gene 37"
"92","Gene 6","Gene 44"
"93","Gene 6","Gene 45"
"94","Gene 6","Gene 57"
"95","Gene 6","Gene 59"
"96","Gene 6","Gene 64"
"97","Gene 6","Gene 73"
"98","Gene 6","Gene 81"
"99","Gene 6","Gene 83"
"100","Gene 6","Gene 84"
"101","Gene 6","Gene 94"
"102","Gene 7","Gene 8"
"103","Gene 7","Gene 11"
"104","Gene 7","Gene 16"
"105","Gene 7","Gene 25"
"106","Gene 7","Gene 26"
"107","Gene 7","Gene 31"
"108","Gene 7","Gene 35"
"109","Gene 7","Gene 36"
"110","Gene 7","Gene 40"
"111","Gene 7","Gene 41"
"112","Gene 7","Gene 47"
"113","Gene 7","Gene 48"
"114","Gene 7","Gene 51"
"115","Gene 7","Gene 56"
"116","Gene 7","Gene 59"
"117","Gene 7","Gene 69"
"118","Gene 7","Gene 79"
"119","Gene 7","Gene 80"
"120","Gene 7","Gene 85"
"121","Gene 7","Gene 89"
"122","Gene 7","Gene 90"
"123","Gene 7","Gene 92"
"124","Gene 7","Gene 94"
"125","Gene 7","Gene 96"
"126","Gene 7","Gene 100"
"127","Gene 8","Gene 2"
"128","Gene 8","Gene 7"
"129","Gene 8","Gene 10"
"130","Gene 8","Gene 17"
"131","Gene 8","Gene 21"
"132","Gene 8","Gene 30"
"133","Gene 8","Gene 31"
"134","Gene 8","Gene 38"
"135","Gene 8","Gene 42"
"136","Gene 8","Gene 44"
"137","Gene 8","Gene 45"
"138","Gene 8","Gene 47"
"139","Gene 8","Gene 51"
"140","Gene 8","Gene 52"
"141","Gene 8","Gene 60"
"142","Gene 8","Gene 63"
"143","Gene 8","Gene 68"
"144","Gene 8","Gene 69"
"145","Gene 8","Gene 71"
"146","Gene 8","Gene 72"
"147","Gene 8","Gene 73"
"148","Gene 8","Gene 74"
"149","Gene 8","Gene 79"
"150","Gene 8","Gene 85"
"151","Gene 8","Gene 87"
"152","Gene 8","Gene 90"
"153","Gene 8","Gene 95"
"154","Gene 8","Gene 96"
"155","Gene 9","Gene 11"
"156","Gene 9","Gene 16"
"157","Gene 9","Gene 24"
"158","Gene 9","Gene 27"
"159","Gene 9","Gene 31"
"160","Gene 9","Gene 37"
"161","Gene 9","Gene 59"
"162","Gene 9","Gene 60"
"163","Gene 9","Gene 61"
"164","Gene 9","Gene 70"
"165","Gene 9","Gene 71"
"166","Gene 9","Gene 75"
"167","Gene 9","Gene 78"
"168","Gene 9","Gene 89"
"169","Gene 9","Gene 92"
"170","Gene 9","Gene 95"
"171","Gene 9","Gene 97"
"172","Gene 9","Gene 100"
"173","Gene 10","Gene 2"
"174","Gene 10","Gene 4"
"175","Gene 10","Gene 5"
"176","Gene 10","Gene 8"
"177","Gene 10","Gene 34"
"178","Gene 10","Gene 38"
"179","Gene 10","Gene 39"
"180","Gene 10","Gene 40"
"181","Gene 10","Gene 44"
"182","Gene 10","Gene 45"
"183","Gene 10","Gene 50"
"184","Gene 10","Gene 52"
"185","Gene 10","Gene 56"
"186","Gene 10","Gene 69"
"187","Gene 10","Gene 76"
"188","Gene 10","Gene 80"
"189","Gene 10","Gene 81"
"190","Gene 10","Gene 91"
"191","Gene 10","Gene 93"
"192","Gene 10","Gene 95"
"193","Gene 11","Gene 1"
"194","Gene 11","Gene 7"
"195","Gene 11","Gene 9"
"196","Gene 11","Gene 12"
"197","Gene 11","Gene 15"
"198","Gene 11","Gene 47"
"199","Gene 11","Gene 49"
"200","Gene 11","Gene 51"
"201","Gene 11","Gene 57"
"202","Gene 11","Gene 63"
"203","Gene 11","Gene 64"
"204","Gene 11","Gene 66"
"205","Gene 11","Gene 67"
"206","Gene 11","Gene 92"
"207","Gene 12","Gene 1"
"208","Gene 12","Gene 4"
"209","Gene 12","Gene 6"
"210","Gene 12","Gene 11"
"211","Gene 12","Gene 14"
"212","Gene 12","Gene 22"
"213","Gene 12","Gene 25"
"214","Gene 12","Gene 27"
"215","Gene 12","Gene 29"
"216","Gene 12","Gene 31"
"217","Gene 12","Gene 34"
"218","Gene 12","Gene 35"
"219","Gene 12","Gene 38"
"220","Gene 12","Gene 45"
"221","Gene 12","Gene 46"
"222","Gene 12","Gene 50"
"223","Gene 12","Gene 58"
"224","Gene 12","Gene 59"
"225","Gene 12","Gene 64"
"226","Gene 12","Gene 67"
"227","Gene 12","Gene 72"
"228","Gene 12","Gene 75"
"229","Gene 12","Gene 79"
"230","Gene 12","Gene 84"
"231","Gene 12","Gene 95"
"232","Gene 13","Gene 2"
"233","Gene 13","Gene 4"
"234","Gene 13","Gene 19"
"235","Gene 13","Gene 22"
"236","Gene 13","Gene 33"
"237","Gene 13","Gene 35"
"238","Gene 13","Gene 37"
"239","Gene 13","Gene 42"
"240","Gene 13","Gene 46"
"241","Gene 13","Gene 47"
"242","Gene 13","Gene 58"
"243","Gene 13","Gene 60"
"244","Gene 13","Gene 64"
"245","Gene 13","Gene 66"
"246","Gene 13","Gene 70"
"247","Gene 13","Gene 78"
"248","Gene 13","Gene 83"
"249","Gene 13","Gene 90"
"250","Gene 13","Gene 91"
"251","Gene 13","Gene 95"
"252","Gene 14","Gene 12"
"253","Gene 14","Gene 17"
"254","Gene 14","Gene 18"
"255","Gene 14","Gene 19"
"256","Gene 14","Gene 20"
"257","Gene 14","Gene 24"
"258","Gene 14","Gene 31"
"259","Gene 14","Gene 32"
"260","Gene 14","Gene 34"
"261","Gene 14","Gene 35"
"262","Gene 14","Gene 38"
"263","Gene 14","Gene 43"
"264","Gene 14","Gene 57"
"265","Gene 14","Gene 69"
"266","Gene 14","Gene 71"
"267","Gene 15","Gene 1"
"268","Gene 15","Gene 6"
"269","Gene 15","Gene 11"
"270","Gene 15","Gene 19"
"271","Gene 15","Gene 24"
"272","Gene 15","Gene 27"
"273","Gene 15","Gene 28"
"274","Gene 15","Gene 36"
"275","Gene 15","Gene 42"
"276","Gene 15","Gene 46"
"277","Gene 15","Gene 53"
"278","Gene 15","Gene 55"
"279","Gene 15","Gene 56"
"280","Gene 15","Gene 61"
"281","Gene 15","Gene 67"
"282","Gene 15","Gene 78"
"283","Gene 15","Gene 83"
"284","Gene 15","Gene 90"
"285","Gene 15","Gene 95"
"286","Gene 15","Gene 96"
"287","Gene 15","Gene 97"
"288","Gene 16","Gene 7"
"289","Gene 16","Gene 9"
"290","Gene 16","Gene 19"
"291","Gene 16","Gene 20"
"292","Gene 16","Gene 25"
"293","Gene 16","Gene 27"
"294","Gene 16","Gene 30"
"295","Gene 16","Gene 32"
"296","Gene 16","Gene 42"
"297","Gene 16","Gene 46"
"298","Gene 16","Gene 49"
"299","Gene 16","Gene 50"
"300","Gene 16","Gene 55"
"301","Gene 16","Gene 57"
"302","Gene 16","Gene 60"
"303","Gene 16","Gene 65"
"304","Gene 16","Gene 71"
"305","Gene 16","Gene 75"
"306","Gene 16","Gene 88"
"307","Gene 16","Gene 95"
"308","Gene 16","Gene 96"
"309","Gene 16","Gene 97"
"310","Gene 17","Gene 2"
"311","Gene 17","Gene 8"
"312","Gene 17","Gene 14"
"313","Gene 17","Gene 26"
"314","Gene 17","Gene 27"
"315","Gene 17","Gene 53"
"316","Gene 17","Gene 55"
"317","Gene 17","Gene 56"
"318","Gene 17","Gene 57"
"319","Gene 17","Gene 61"
"320","Gene 17","Gene 72"
"321","Gene 17","Gene 73"
"322","Gene 17","Gene 77"
"323","Gene 17","Gene 78"
"324","Gene 17","Gene 80"
"325","Gene 17","Gene 84"
"326","Gene 17","Gene 87"
"327","Gene 17","Gene 97"
"328","Gene 17","Gene 99"
"329","Gene 18","Gene 6"
"330","Gene 18","Gene 14"
"331","Gene 18","Gene 25"
"332","Gene 18","Gene 34"
"333","Gene 18","Gene 35"
"334","Gene 18","Gene 36"
"335","Gene 18","Gene 42"
"336","Gene 18","Gene 48"
"337","Gene 18","Gene 55"
"338","Gene 18","Gene 56"
"339","Gene 18","Gene 57"
"340","Gene 18","Gene 59"
"341","Gene 18","Gene 66"
"342","Gene 18","Gene 67"
"343","Gene 18","Gene 74"
"344","Gene 18","Gene 84"
"345","Gene 18","Gene 93"
"346","Gene 18","Gene 94"
"347","Gene 19","Gene 1"
"348","Gene 19","Gene 2"
"349","Gene 19","Gene 13"
"350","Gene 19","Gene 14"
"351","Gene 19","Gene 15"
"352","Gene 19","Gene 16"
"353","Gene 19","Gene 23"
"354","Gene 19","Gene 24"
"355","Gene 19","Gene 26"
"356","Gene 19","Gene 30"
"357","Gene 19","Gene 33"
"358","Gene 19","Gene 35"
"359","Gene 19","Gene 39"
"360","Gene 19","Gene 53"
"361","Gene 19","Gene 57"
"362","Gene 19","Gene 59"
"363","Gene 19","Gene 70"
"364","Gene 19","Gene 77"
"365","Gene 19","Gene 92"
"366","Gene 19","Gene 94"
"367","Gene 19","Gene 95"
"368","Gene 20","Gene 4"
"369","Gene 20","Gene 14"
"370","Gene 20","Gene 16"
"371","Gene 20","Gene 24"
"372","Gene 20","Gene 26"
"373","Gene 20","Gene 29"
"374","Gene 20","Gene 52"
"375","Gene 20","Gene 58"
"376","Gene 20","Gene 66"
"377","Gene 20","Gene 68"
"378","Gene 20","Gene 71"
"379","Gene 20","Gene 82"
"380","Gene 20","Gene 86"
"381","Gene 20","Gene 91"
"382","Gene 20","Gene 96"
"383","Gene 21","Gene 8"
"384","Gene 21","Gene 22"
"385","Gene 21","Gene 28"
"386","Gene 21","Gene 44"
"387","Gene 21","Gene 45"
"388","Gene 21","Gene 48"
"389","Gene 21","Gene 49"
"390","Gene 21","Gene 50"
"391","Gene 21","Gene 55"
"392","Gene 21","Gene 56"
"393","Gene 21","Gene 60"
"394","Gene 21","Gene 61"
"395","Gene 21","Gene 63"
"396","Gene 21","Gene 65"
"397","Gene 21","Gene 67"
"398","Gene 21","Gene 78"
"399","Gene 21","Gene 90"
"400","Gene 21","Gene 93"
"401","Gene 21","Gene 94"
"402","Gene 21","Gene 95"
"403","Gene 22","Gene 3"
"404","Gene 22","Gene 12"
"405","Gene 22","Gene 13"
"406","Gene 22","Gene 21"
"407","Gene 22","Gene 46"
"408","Gene 22","Gene 51"
"409","Gene 22","Gene 55"
"410","Gene 22","Gene 57"
"411","Gene 22","Gene 68"
"412","Gene 22","Gene 75"
"413","Gene 22","Gene 79"
"414","Gene 22","Gene 81"
"415","Gene 22","Gene 85"
"416","Gene 22","Gene 86"
"417","Gene 22","Gene 87"
"418","Gene 22","Gene 91"
"419","Gene 22","Gene 96"
"420","Gene 23","Gene 19"
"421","Gene 23","Gene 25"
"422","Gene 23","Gene 34"
"423","Gene 23","Gene 36"
"424","Gene 23","Gene 42"
"425","Gene 23","Gene 44"
"426","Gene 23","Gene 45"
"427","Gene 23","Gene 58"
"428","Gene 23","Gene 61"
"429","Gene 23","Gene 62"
"430","Gene 23","Gene 63"
"431","Gene 23","Gene 65"
"432","Gene 23","Gene 67"
"433","Gene 23","Gene 70"
"434","Gene 23","Gene 71"
"435","Gene 23","Gene 72"
"436","Gene 23","Gene 75"
"437","Gene 23","Gene 84"
"438","Gene 23","Gene 85"
"439","Gene 23","Gene 87"
"440","Gene 23","Gene 96"
"441","Gene 23","Gene 97"
"442","Gene 24","Gene 2"
"443","Gene 24","Gene 4"
"444","Gene 24","Gene 5"
"445","Gene 24","Gene 9"
"446","Gene 24","Gene 14"
"447","Gene 24","Gene 15"
"448","Gene 24","Gene 19"
"449","Gene 24","Gene 20"
"450","Gene 24","Gene 26"
"451","Gene 24","Gene 28"
"452","Gene 24","Gene 34"
"453","Gene 24","Gene 41"
"454","Gene 24","Gene 47"
"455","Gene 24","Gene 51"
"456","Gene 24","Gene 60"
"457","Gene 24","Gene 67"
"458","Gene 24","Gene 70"
"459","Gene 24","Gene 74"
"460","Gene 24","Gene 78"
"461","Gene 24","Gene 84"
"462","Gene 24","Gene 90"
"463","Gene 24","Gene 92"
"464","Gene 25","Gene 7"
"465","Gene 25","Gene 12"
"466","Gene 25","Gene 16"
"467","Gene 25","Gene 18"
"468","Gene 25","Gene 23"
"469","Gene 25","Gene 26"
"470","Gene 25","Gene 27"
"471","Gene 25","Gene 28"
"472","Gene 25","Gene 37"
"473","Gene 25","Gene 38"
"474","Gene 25","Gene 46"
"475","Gene 25","Gene 48"
"476","Gene 25","Gene 57"
"477","Gene 25","Gene 62"
"478","Gene 25","Gene 79"
"479","Gene 25","Gene 83"
"480","Gene 25","Gene 88"
"481","Gene 25","Gene 89"
"482","Gene 25","Gene 100"
"483","Gene 26","Gene 2"
"484","Gene 26","Gene 5"
"485","Gene 26","Gene 7"
"486","Gene 26","Gene 17"
"487","Gene 26","Gene 19"
"488","Gene 26","Gene 20"
"489","Gene 26","Gene 24"
"490","Gene 26","Gene 25"
"491","Gene 26","Gene 39"
"492","Gene 26","Gene 41"
"493","Gene 26","Gene 42"
"494","Gene 26","Gene 43"
"495","Gene 26","Gene 49"
"496","Gene 26","Gene 53"
"497","Gene 26","Gene 62"
"498","Gene 26","Gene 65"
"499","Gene 26","Gene 68"
"500","Gene 26","Gene 74"
"501","Gene 26","Gene 77"
"502","Gene 26","Gene 80"
"503","Gene 26","Gene 95"
"504","Gene 27","Gene 9"
"505","Gene 27","Gene 12"
"506","Gene 27","Gene 15"
"507","Gene 27","Gene 16"
"508","Gene 27","Gene 17"
"509","Gene 27","Gene 25"
"510","Gene 27","Gene 38"
"511","Gene 27","Gene 41"
"512","Gene 27","Gene 56"
"513","Gene 27","Gene 71"
"514","Gene 27","Gene 74"
"515","Gene 27","Gene 76"
"516","Gene 27","Gene 78"
"517","Gene 27","Gene 80"
"518","Gene 27","Gene 81"
"519","Gene 27","Gene 83"
"520","Gene 27","Gene 95"
"521","Gene 28","Gene 4"
"522","Gene 28","Gene 15"
"523","Gene 28","Gene 21"
"524","Gene 28","Gene 24"
"525","Gene 28","Gene 25"
"526","Gene 28","Gene 33"
"527","Gene 28","Gene 38"
"528","Gene 28","Gene 40"
"529","Gene 28","Gene 44"
"530","Gene 28","Gene 50"
"531","Gene 28","Gene 51"
"532","Gene 28","Gene 55"
"533","Gene 28","Gene 62"
"534","Gene 28","Gene 63"
"535","Gene 28","Gene 64"
"536","Gene 28","Gene 65"
"537","Gene 28","Gene 91"
"538","Gene 28","Gene 95"
"539","Gene 28","Gene 98"
"540","Gene 29","Gene 1"
"541","Gene 29","Gene 5"
"542","Gene 29","Gene 12"
"543","Gene 29","Gene 20"
"544","Gene 29","Gene 30"
"545","Gene 29","Gene 31"
"546","Gene 29","Gene 33"
"547","Gene 29","Gene 35"
"548","Gene 29","Gene 42"
"549","Gene 29","Gene 59"
"550","Gene 29","Gene 60"
"551","Gene 29","Gene 61"
"552","Gene 29","Gene 72"
"553","Gene 29","Gene 76"
"554","Gene 29","Gene 80"
"555","Gene 29","Gene 88"
"556","Gene 29","Gene 89"
"557","Gene 29","Gene 90"
"558","Gene 29","Gene 92"
"559","Gene 29","Gene 93"
"560","Gene 29","Gene 96"
"561","Gene 29","Gene 97"
"562","Gene 30","Gene 8"
"563","Gene 30","Gene 16"
"564","Gene 30","Gene 19"
"565","Gene 30","Gene 29"
"566","Gene 30","Gene 31"
"567","Gene 30","Gene 32"
"568","Gene 30","Gene 36"
"569","Gene 30","Gene 39"
"570","Gene 30","Gene 45"
"571","Gene 30","Gene 49"
"572","Gene 30","Gene 53"
"573","Gene 30","Gene 64"
"574","Gene 30","Gene 66"
"575","Gene 30","Gene 72"
"576","Gene 30","Gene 76"
"577","Gene 30","Gene 78"
"578","Gene 30","Gene 79"
"579","Gene 30","Gene 90"
"580","Gene 31","Gene 3"
"581","Gene 31","Gene 7"
"582","Gene 31","Gene 8"
"583","Gene 31","Gene 9"
"584","Gene 31","Gene 12"
"585","Gene 31","Gene 14"
"586","Gene 31","Gene 29"
"587","Gene 31","Gene 30"
"588","Gene 31","Gene 34"
"589","Gene 31","Gene 36"
"590","Gene 31","Gene 41"
"591","Gene 31","Gene 43"
"592","Gene 31","Gene 49"
"593","Gene 31","Gene 50"
"594","Gene 31","Gene 55"
"595","Gene 31","Gene 63"
"596","Gene 31","Gene 67"
"597","Gene 31","Gene 72"
"598","Gene 31","Gene 73"
"599","Gene 31","Gene 79"
"600","Gene 31","Gene 80"
"601","Gene 31","Gene 81"
"602","Gene 32","Gene 2"
"603","Gene 32","Gene 14"
"604","Gene 32","Gene 16"
"605","Gene 32","Gene 30"
"606","Gene 32","Gene 34"
"607","Gene 32","Gene 35"
"608","Gene 32","Gene 37"
"609","Gene 32","Gene 47"
"610","Gene 32","Gene 56"
"611","Gene 32","Gene 68"
"612","Gene 32","Gene 71"
"613","Gene 32","Gene 75"
"614","Gene 32","Gene 79"
"615","Gene 32","Gene 86"
"616","Gene 32","Gene 90"
"617","Gene 32","Gene 91"
"618","Gene 32","Gene 94"
"619","Gene 32","Gene 99"
"620","Gene 33","Gene 1"
"621","Gene 33","Gene 2"
"622","Gene 33","Gene 13"
"623","Gene 33","Gene 19"
"624","Gene 33","Gene 28"
"625","Gene 33","Gene 29"
"626","Gene 33","Gene 35"
"627","Gene 33","Gene 40"
"628","Gene 33","Gene 41"
"629","Gene 33","Gene 43"
"630","Gene 33","Gene 48"
"631","Gene 33","Gene 54"
"632","Gene 33","Gene 57"
"633","Gene 33","Gene 61"
"634","Gene 33","Gene 64"
"635","Gene 33","Gene 84"
"636","Gene 33","Gene 86"
"637","Gene 33","Gene 100"
"638","Gene 34","Gene 6"
"639","Gene 34","Gene 10"
"640","Gene 34","Gene 12"
"641","Gene 34","Gene 14"
"642","Gene 34","Gene 18"
"643","Gene 34","Gene 23"
"644","Gene 34","Gene 24"
