"","Gene1","Gene2"
"1","Gene 1","Gene 4"
"2","Gene 1","Gene 33"
"3","Gene 1","Gene 45"
"4","Gene 1","Gene 47"
"5","Gene 1","Gene 52"
"6","Gene 1","Gene 60"
"7","Gene 1","Gene 80"
"8","Gene 2","Gene 17"
"9","Gene 2","Gene 26"
"10","Gene 2","Gene 44"
"11","Gene 2","Gene 62"
"12","Gene 2","Gene 82"
"13","Gene 3","Gene 4"
"14","Gene 3","Gene 55"
"15","Gene 3","Gene 84"
"16","Gene 4","Gene 1"
"17","Gene 4","Gene 3"
"18","Gene 4","Gene 10"
"19","Gene 4","Gene 28"
"20","Gene 4","Gene 67"
"21","Gene 4","Gene 73"
"22","Gene 4","Gene 78"
"23","Gene 5","Gene 24"
"24","Gene 5","Gene 61"
"25","Gene 6","Gene 15"
"26","Gene 6","Gene 44"
"27","Gene 6","Gene 81"
"28","Gene 7","Gene 90"
"29","Gene 7","Gene 100"
"30","Gene 8","Gene 17"
"31","Gene 8","Gene 31"
"32","Gene 8","Gene 42"
"33","Gene 8","Gene 44"
"34","Gene 8","Gene 60"
"35","Gene 8","Gene 63"
"36","Gene 8","Gene 68"
"37","Gene 8","Gene 72"
"38","Gene 8","Gene 79"
"39","Gene 9","Gene 11"
"40","Gene 9","Gene 16"
"41","Gene 9","Gene 24"
"42","Gene 9","Gene 60"
"43","Gene 9","Gene 61"
"44","Gene 9","Gene 78"
"45","Gene 9","Gene 89"
"46","Gene 10","Gene 4"
"47","Gene 10","Gene 40"
"48","Gene 10","Gene 80"
"49","Gene 11","Gene 9"
"50","Gene 11","Gene 64"
"51","Gene 11","Gene 92"
"52","Gene 12","Gene 25"
"53","Gene 12","Gene 34"
"54","Gene 12","Gene 35"
"55","Gene 12","Gene 38"
"56","Gene 12","Gene 67"
"57","Gene 12","Gene 84"
"58","Gene 13","Gene 22"
"59","Gene 13","Gene 35"
"60","Gene 13","Gene 83"
"61","Gene 13","Gene 90"
"62","Gene 13","Gene 95"
"63","Gene 14","Gene 17"
"64","Gene 14","Gene 18"
"65","Gene 14","Gene 20"
"66","Gene 14","Gene 31"
"67","Gene 14","Gene 38"
"68","Gene 14","Gene 69"
"69","Gene 15","Gene 6"
