"","Gene 1","Gene 2","Gene 3","Gene 4","Gene 5","Gene 6","Gene 7","Gene 8","Gene 9","Gene 10","Gene 11","Gene 12","Gene 13","Gene 14","Gene 15","Gene 16","Gene 17","Gene 18","Gene 19","Gene 20","Gene 21","Gene 22","Gene 23","Gene 24","Gene 25","Gene 26","Gene 27","Gene 28","Gene 29","Gene 30","Gene 31","Gene 32","Gene 33","Gene 34","Gene 35","Gene 36","Gene 37","Gene 38","Gene 39","Gene 40","Gene 41","Gene 42","Gene 43","Gene 44","Gene 45","Gene 46","Gene 47","Gene 48","Gene 49","Gene 50","Gene 51","Gene 52","Gene 53","Gene 54","Gene 55","Gene 56","Gene 57","Gene 58","Gene 59","Gene 60","Gene 61","Gene 62","Gene 63","Gene 64","Gene 65","Gene 66","Gene 67","Gene 68","Gene 69","Gene 70","Gene 71","Gene 72","Gene 73","Gene 74","Gene 75","Gene 76","Gene 77","Gene 78","Gene 79","Gene 80","Gene 81","Gene 82","Gene 83","Gene 84","Gene 85","Gene 86","Gene 87","Gene 88","Gene 89","Gene 90","Gene 91","Gene 92","Gene 93","Gene 94","Gene 95","Gene 96","Gene 97","Gene 98","Gene 99","Gene 100"
"Cell 1",24,31,24,27,9,11,18,13,38,2,19,23,21,1,0,16,11,8,27,75,37,27,6,16,22,11,4,7,9,22,0,15,2,14,0,2,9,21,38,11,10,2,11,5,5,1,3,4,19,0,2,0,0,6,0,4,1,22,6,15,21,0,9,10,0,0,5,0,1,0,9,5,0,0,15,5,0,5,0,7,0,0,2,13,0,1,10,24,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 2",17,32,10,17,10,10,37,11,27,11,20,33,13,2,1,20,16,9,15,53,41,23,7,3,21,13,6,15,27,4,0,10,13,25,0,14,16,21,17,10,15,18,11,14,8,6,0,8,10,2,0,0,2,17,2,1,6,15,21,42,14,0,14,7,0,0,8,1,7,0,16,0,4,0,10,8,0,14,0,8,0,0,2,7,0,0,8,19,0,8,0,0,0,0,0,0,0,0,0,0
"Cell 3",13,22,12,33,13,9,24,4,35,5,18,12,27,9,0,7,12,26,14,63,23,48,3,28,39,11,7,5,14,8,0,10,8,18,0,2,7,28,28,13,28,4,14,6,5,2,0,11,22,0,6,0,0,14,3,9,0,30,10,24,6,0,11,7,0,1,3,0,0,0,5,9,0,0,16,8,0,0,0,18,3,0,3,8,0,2,14,21,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 4",33,20,18,21,16,7,51,11,47,8,16,10,35,10,1,11,16,6,14,99,36,27,9,15,21,7,6,12,7,13,0,11,6,12,1,7,13,19,32,10,11,10,7,6,6,14,5,7,9,0,5,0,0,4,0,0,6,17,9,19,21,0,3,7,0,0,5,0,0,2,11,0,0,0,9,14,0,5,0,3,0,0,1,2,0,0,7,18,1,6,0,0,0,0,0,0,0,0,0,0
"Cell 5",30,35,20,48,24,18,32,11,26,11,25,21,15,13,2,10,24,21,13,65,37,38,7,7,32,6,7,10,10,17,0,2,6,24,0,10,6,28,24,12,7,5,8,16,11,5,0,4,12,0,4,0,4,10,7,12,6,18,16,27,8,0,0,6,0,6,2,0,2,0,17,1,0,1,22,3,0,2,0,1,0,0,1,16,0,0,6,6,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 6",23,47,30,25,6,4,15,24,23,2,24,18,10,3,0,27,23,9,27,80,28,24,9,9,17,4,0,3,20,19,0,11,5,18,0,8,15,14,36,14,14,17,9,7,3,4,3,6,7,6,4,0,0,10,0,4,4,15,7,28,24,0,9,7,0,0,5,0,4,0,13,0,4,0,24,6,0,3,0,10,0,0,3,14,1,0,9,14,0,0,0,0,0,0,0,0,0,0,1,0
"Cell 7",23,23,29,40,18,12,38,6,51,24,19,27,21,17,0,14,18,18,23,89,22,19,1,21,28,9,9,3,11,10,0,6,2,29,2,6,3,31,36,5,12,13,21,9,2,10,1,7,10,0,4,0,0,10,3,3,8,27,11,32,22,0,9,5,0,0,0,1,0,0,11,8,4,0,19,0,0,1,0,1,7,0,9,1,0,0,8,19,0,1,0,0,0,0,0,0,0,0,0,0
"Cell 8",15,26,24,12,16,22,29,13,59,9,19,14,10,11,2,18,17,12,14,47,19,29,7,17,39,10,14,3,8,13,0,9,10,16,0,15,17,32,34,12,16,7,6,10,12,4,0,13,9,0,5,0,0,14,0,0,4,19,18,38,15,0,6,6,0,1,2,0,0,0,4,0,2,0,14,9,0,5,0,7,3,0,9,10,0,0,12,14,0,9,0,0,0,0,0,0,0,1,0,0
"Cell 9",18,38,15,26,39,6,19,18,32,23,13,9,18,20,5,10,30,9,13,73,33,22,16,17,34,7,10,3,14,13,0,3,19,17,0,21,14,15,23,8,12,12,2,17,15,3,0,4,9,0,6,0,0,18,1,1,6,23,14,49,11,0,0,15,0,0,0,3,6,0,6,2,1,0,25,1,1,3,0,0,0,0,4,14,0,0,3,21,0,14,0,0,0,0,0,1,0,0,0,0
"Cell 10",23,35,26,13,20,21,17,8,29,7,27,16,21,8,0,14,16,14,18,70,21,24,2,11,16,4,9,16,19,10,0,5,7,21,1,4,11,38,42,9,6,13,7,7,29,4,0,3,10,2,4,0,0,10,0,5,3,17,13,34,17,0,20,7,0,0,6,0,0,0,2,3,1,0,28,7,0,0,0,12,1,0,10,8,0,0,5,9,0,2,5,0,0,0,0,0,0,1,1,0
