"","Gene 1","Gene 2","Gene 3","Gene 4","Gene 5","Gene 6","Gene 7","Gene 8","Gene 9","Gene 10","Gene 11","Gene 12","Gene 13","Gene 14","Gene 15","Gene 16","Gene 17","Gene 18","Gene 19","Gene 20","Gene 21","Gene 22","Gene 23","Gene 24","Gene 25","Gene 26","Gene 27","Gene 28","Gene 29","Gene 30","Gene 31","Gene 32","Gene 33","Gene 34","Gene 35","Gene 36","Gene 37","Gene 38","Gene 39","Gene 40","Gene 41","Gene 42","Gene 43","Gene 44","Gene 45","Gene 46","Gene 47","Gene 48","Gene 49","Gene 50","Gene 51","Gene 52","Gene 53","Gene 54","Gene 55","Gene 56","Gene 57","Gene 58","Gene 59","Gene 60","Gene 61","Gene 62","Gene 63","Gene 64","Gene 65","Gene 66","Gene 67","Gene 68","Gene 69","Gene 70","Gene 71","Gene 72","Gene 73","Gene 74","Gene 75","Gene 76","Gene 77","Gene 78","Gene 79","Gene 80","Gene 81","Gene 82","Gene 83","Gene 84","Gene 85","Gene 86","Gene 87","Gene 88","Gene 89","Gene 90","Gene 91","Gene 92","Gene 93","Gene 94","Gene 95","Gene 96","Gene 97","Gene 98","Gene 99","Gene 100"
"Cell 1",24,31,24,27,9,11,18,13,38,2,19,23,21,1,0,16,11,8,27,75,36,27,5,16,22,11,4,7,9,22,0,15,2,14,0,2,9,21,38,11,10,2,11,5,5,1,2,4,18,0,2,0,0,7,0,4,1,23,6,15,21,0,9,10,0,0,5,0,1,0,9,5,0,0,15,5,0,5,0,7,1,0,1,13,0,1,10,24,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 2",17,32,10,17,10,10,36,11,27,11,20,33,14,2,1,20,15,9,15,52,40,23,7,3,21,13,6,15,27,4,0,10,13,24,0,14,16,21,17,9,16,18,11,14,8,6,0,8,10,2,0,0,2,16,2,1,6,15,21,41,14,0,14,7,0,0,8,1,7,0,17,0,3,0,10,8,0,14,0,9,0,0,2,7,0,0,8,19,0,8,0,0,0,0,0,0,0,0,0,0
"Cell 3",13,21,12,33,13,10,24,3,35,5,18,13,28,9,0,7,12,26,14,62,23,48,3,28,40,11,7,5,14,8,0,10,8,18,0,2,7,28,28,13,29,4,14,6,5,2,0,11,22,0,6,0,0,14,3,9,0,31,10,24,6,0,11,6,0,1,3,0,0,0,5,9,0,0,16,8,0,0,0,18,3,0,3,7,0,2,14,21,0,3,0,0,0,0,0,0,0,0,0,0
"Cell 4",32,19,18,21,16,7,50,11,47,7,16,10,36,10,1,11,16,6,14,99,35,27,9,15,21,7,6,12,7,13,0,11,6,12,1,7,12,19,32,9,11,10,7,5,6,15,5,7,9,0,5,0,0,4,0,0,6,17,8,18,21,0,3,7,0,0,5,0,0,1,12,0,0,0,9,14,0,5,0,4,0,0,1,2,0,0,7,18,1,6,0,0,0,0,0,0,0,0,0,0
"Cell 5",30,34,20,47,24,18,32,11,25,10,25,21,15,13,1,10,23,21,13,64,36,37,7,7,32,6,7,10,10,17,0,2,6,23,0,10,6,27,23,12,7,5,8,16,11,5,0,4,12,0,4,0,4,10,8,12,6,19,16,26,8,0,0,6,0,5,2,0,2,0,17,2,0,1,22,3,0,2,0,1,0,0,1,15,0,0,5,6,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 6",23,46,30,25,6,4,15,24,23,2,25,18,10,3,0,27,23,9,27,80,28,25,8,9,17,4,0,3,20,19,0,11,5,18,0,8,14,13,36,14,14,17,9,7,2,4,3,6,7,6,4,0,0,10,0,4,4,15,7,28,24,0,9,7,0,0,5,0,4,0,13,0,4,0,24,6,0,3,0,10,0,0,3,13,1,0,9,15,0,0,0,0,0,0,0,0,0,0,1,0
"Cell 7",22,22,29,39,18,12,38,6,51,24,19,27,21,17,0,14,17,18,23,89,22,19,1,21,28,9,9,3,10,10,0,6,2,28,2,6,3,31,35,5,12,13,21,9,2,10,1,7,10,0,4,0,0,10,3,3,8,28,11,31,22,0,9,5,0,0,0,1,0,0,11,8,3,0,19,0,0,1,0,1,7,0,9,0,0,0,8,19,0,1,0,0,0,0,0,0,0,0,0,0
"Cell 8",15,26,24,12,16,23,29,13,59,9,19,15,10,11,1,18,16,12,15,46,19,29,7,17,39,10,14,3,8,13,0,9,9,16,0,15,17,32,33,11,17,7,6,10,12,4,0,13,9,0,5,0,0,14,0,0,3,19,17,37,15,0,7,6,0,1,2,0,0,0,4,0,2,0,14,9,0,5,0,7,3,0,9,10,0,0,12,14,0,9,0,0,0,0,0,0,0,2,0,0
"Cell 9",18,37,16,26,39,6,19,18,32,23,13,10,18,20,4,10,30,9,13,72,33,22,15,17,35,7,10,3,14,13,0,3,19,16,0,21,14,14,23,7,13,12,2,17,16,3,0,4,9,0,6,0,0,18,2,1,5,24,14,48,11,0,0,15,0,0,0,3,6,0,6,2,1,0,25,1,1,3,0,0,0,0,4,14,0,0,3,21,0,14,0,0,0,0,0,1,0,0,0,0
"Cell 10",23,35,26,13,20,21,17,8,29,7,27,16,21,7,0,14,16,14,18,70,21,24,2,11,16,4,9,16,19,10,0,5,7,21,1,4,11,38,42,8,6,13,7,7,29,4,0,3,10,2,4,0,0,10,0,5,3,17,13,34,17,0,20,7,0,0,6,0,0,0,2,3,1,0,28,7,0,0,0,12,1,0,10,8,0,0,5,9,0,2,5,0,0,0,0,0,0,1,1,0
"Cell 11",18,33,27,24,14,7,16,17,27,10,22,22,17,13,0,20,14,26,33,121,20,33,8,13,28,5,2,6,11,12,0,8,6,7,2,3,10,14,46,6,7,6,15,8,6,15,5,3,9,0,5,0,0,6,0,2,0,22,16,29,16,0,14,11,0,0,5,11,0,0,3,5,0,0,37,1,0,2,1,1,5,1,4,8,2,2,2,6,0,0,0,0,0,0,0,0,0,0,1,0
"Cell 12",23,32,47,29,28,10,24,9,33,14,14,21,20,7,2,20,19,24,26,47,27,51,11,18,13,5,3,14,16,10,0,12,6,11,2,7,10,24,41,12,17,11,18,7,18,2,1,2,14,0,2,0,0,11,3,0,0,18,12,27,6,0,7,15,0,0,2,3,0,0,3,4,1,0,25,3,0,7,0,8,2,0,12,11,0,0,7,14,0,2,0,0,0,0,0,0,0,7,0,0
"Cell 13",9,19,32,23,7,12,44,1,58,3,24,25,30,6,0,22,7,34,31,54,25,33,8,37,13,10,2,16,5,31,0,23,0,11,0,3,24,27,23,8,5,7,18,5,13,4,12,6,18,0,7,0,0,16,0,6,0,38,8,8,19,0,7,12,0,1,2,0,0,0,2,11,0,0,28,5,0,1,0,3,8,0,8,4,0,3,10,14,0,0,0,0,0,2,0,0,0,0,0,0
"Cell 14",29,38,19,21,21,4,23,9,11,5,19,24,9,8,4,20,11,8,11,87,27,13,15,5,15,6,6,14,15,17,0,18,2,14,3,13,14,11,43,16,12,6,6,19,7,4,5,4,7,0,13,0,0,9,0,1,9,15,17,22,15,0,6,8,0,0,4,1,4,1,5,0,0,0,25,4,0,11,0,5,0,0,9,13,0,0,9,22,0,3,0,0,0,0,0,0,0,0,0,0
"Cell 15",20,31,45,18,18,29,24,10,42,14,27,8,16,14,0,17,15,11,23,68,31,28,13,41,12,2,1,13,7,9,0,12,4,25,4,7,12,21,30,10,11,9,3,13,5,7,3,5,11,0,11,0,0,4,0,5,1,30,9,17,19,0,3,5,0,4,2,5,2,0,15,9,0,2,22,7,0,0,0,6,1,1,6,11,0,0,9,13,0,1,0,0,0,1,0,0,0,0,0,0
"Cell 16",19,25,26,15,11,28,22,17,43,9,15,17,28,17,0,9,20,30,19,69,26,44,6,17,31,8,6,1,14,17,0,17,7,22,2,7,5,28,37,6,11,9,12,5,10,14,1,0,12,1,3,0,0,23,0,5,0,36,9,34,19,0,9,14,0,0,0,1,1,0,8,2,1,2,25,1,0,3,0,6,0,0,1,6,0,0,2,9,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 17",19,36,11,27,16,17,22,22,34,10,19,14,14,10,0,20,12,21,20,73,31,15,4,5,29,13,0,8,14,13,0,18,3,13,0,10,13,12,41,11,14,9,9,24,14,14,9,5,7,0,3,0,0,5,12,2,3,10,10,20,23,0,5,14,0,0,0,2,0,0,5,0,4,0,15,1,0,14,0,12,0,0,7,11,0,0,7,18,0,2,0,0,0,0,0,0,0,3,0,0
"Cell 18",25,42,24,16,34,11,30,28,22,10,34,17,6,25,2,15,12,14,10,66,18,15,12,18,11,33,7,5,12,12,0,13,6,23,4,10,15,22,68,2,10,10,19,7,7,8,6,2,15,0,7,0,0,8,7,0,3,17,12,17,18,0,4,12,0,1,1,0,3,0,9,2,1,0,26,5,0,2,0,3,2,0,10,17,0,0,7,19,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 19",19,41,30,21,19,8,19,11,27,9,22,22,26,7,7,12,24,24,14,85,30,30,17,20,25,10,8,16,4,6,0,20,8,8,0,13,8,16,47,4,11,3,9,8,17,1,1,4,11,0,5,0,0,12,0,0,0,31,27,19,10,0,6,16,0,1,4,6,3,0,5,3,7,0,21,3,0,1,0,3,0,0,5,10,0,1,4,12,0,8,0,0,0,0,0,2,0,3,0,0
"Cell 20",26,28,20,12,35,11,17,16,22,28,24,20,13,20,4,16,37,27,15,80,33,25,10,1,24,12,12,4,22,9,0,11,17,19,0,21,13,12,45,6,9,9,5,27,4,7,0,15,3,0,7,0,2,10,0,2,1,10,24,42,10,3,3,10,3,2,4,0,10,0,8,0,6,0,9,0,0,8,0,2,1,0,0,8,0,0,7,11,0,17,0,0,0,0,0,0,0,0,0,0
"Cell 21",33,14,47,26,17,9,11,14,40,9,22,13,40,26,0,11,24,14,27,69,32,17,5,5,11,1,4,5,4,10,0,9,9,10,0,13,10,30,46,8,15,8,12,12,12,9,0,0,13,0,6,0,0,7,1,3,1,18,7,41,16,0,10,7,0,0,4,0,0,0,14,0,3,0,20,3,0,11,0,15,0,0,2,5,0,3,7,17,0,1,0,0,0,0,0,0,0,0,0,0
"Cell 22",16,17,20,33,13,15,31,30,51,5,22,22,33,16,0,11,2,17,20,64,21,30,4,24,12,9,10,6,8,11,0,19,1,12,0,3,11,6,32,4,12,6,22,2,16,6,7,5,22,5,7,0,0,14,7,7,0,29,6,24,24,0,13,12,0,4,0,0,0,0,8,8,4,0,15,1,0,0,0,3,1,0,5,12,0,8,0,25,0,4,3,0,0,1,0,0,0,1,2,0
"Cell 23",22,33,15,32,28,3,32,14,52,10,12,11,24,8,0,7,22,11,18,86,47,20,14,13,23,14,6,10,20,11,0,7,9,17,0,7,15,14,30,9,20,6,13,19,8,4,0,3,9,0,5,0,0,8,0,4,0,15,10,22,32,0,9,10,0,1,5,1,2,0,8,4,5,0,17,7,1,8,0,2,0,0,0,9,0,0,10,21,0,4,0,0,0,0,1,0,0,0,0,0
"Cell 24",14,41,13,24,13,3,23,11,32,5,26,11,8,8,0,26,24,5,24,68,24,5,6,11,11,6,0,15,18,7,0,14,4,12,0,5,5,19,40,14,11,5,8,16,10,16,0,7,16,0,5,0,0,3,0,0,14,24,12,30,33,0,17,6,0,0,8,0,5,0,0,7,2,0,26,5,0,6,0,6,0,0,5,13,0,0,15,18,0,2,0,0,3,0,0,0,0,0,2,0
"Cell 25",17,37,8,33,15,19,38,7,19,17,11,22,10,22,16,9,23,10,18,76,18,28,23,9,37,4,3,4,15,6,0,12,13,16,0,15,8,21,30,8,8,4,8,15,12,8,1,8,2,0,14,0,0,16,3,1,4,10,10,32,21,0,7,11,0,0,0,0,7,0,5,0,0,0,19,6,0,7,0,0,3,0,7,8,0,0,5,11,0,7,0,0,0,0,0,0,0,8,0,0
"Cell 26",14,17,38,43,17,9,20,9,40,3,17,19,25,10,1,10,7,29,15,78,37,33,1,24,35,18,7,6,14,5,0,4,3,14,0,12,2,34,45,9,7,10,19,3,9,3,3,0,8,0,3,0,0,12,7,4,1,20,13,23,8,0,7,8,0,2,0,0,0,0,7,6,0,0,27,0,0,0,0,7,0,0,2,8,0,0,5,8,0,3,3,0,0,0,0,0,0,3,0,0
"Cell 27",37,43,12,15,22,9,22,15,30,9,28,6,19,10,5,15,15,18,8,65,37,13,6,11,15,7,11,9,20,29,0,10,6,18,0,18,19,9,35,3,21,5,2,12,14,6,1,18,9,0,3,0,0,15,1,2,7,6,17,23,12,0,7,3,0,0,2,5,5,0,5,0,7,0,11,7,0,13,0,3,0,0,3,8,0,0,10,21,1,4,0,0,0,0,0,0,0,0,0,0
"Cell 28",17,26,21,17,5,24,26,5,34,5,27,14,18,1,0,9,11,6,38,54,29,9,4,9,19,11,0,18,23,5,0,9,4,22,0,0,5,44,50,15,5,20,25,13,11,9,4,0,12,0,0,0,0,4,0,0,5,40,3,29,47,0,7,8,0,0,14,0,1,3,10,7,0,0,18,10,0,4,0,8,0,0,3,6,0,3,20,22,0,0,0,0,0,0,2,0,0,0,0,0
"Cell 29",52,40,11,20,21,2,20,11,40,6,9,18,10,4,0,16,13,6,13,86,21,6,8,12,9,3,6,5,19,13,0,14,3,13,0,7,21,14,42,13,6,7,3,20,4,3,7,17,10,0,1,0,0,6,0,6,7,20,15,13,24,0,9,4,0,0,17,1,7,9,11,2,3,0,15,14,3,4,0,9,0,0,4,16,0,0,15,20,1,0,0,0,0,0,0,3,0,0,4,0
"Cell 30",25,24,9,30,13,14,20,11,45,14,18,7,28,9,2,13,14,15,21,66,37,24,17,20,30,11,3,11,20,17,2,15,4,22,0,14,5,18,27,14,10,8,8,9,19,9,7,6,15,0,3,0,0,11,0,2,8,8,19,15,17,0,4,17,0,3,3,1,3,0,5,0,2,0,12,3,0,8,0,3,0,0,6,6,0,0,12,30,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 31",26,36,21,44,24,7,20,4,31,12,24,26,19,11,4,22,35,17,13,74,39,34,14,9,30,22,1,8,15,13,0,6,10,12,0,8,2,28,41,2,6,9,12,5,19,4,0,2,11,0,12,0,0,12,2,7,0,13,14,49,14,0,6,9,0,2,4,5,3,0,7,0,0,2,28,5,0,4,0,9,4,0,3,6,0,0,4,5,0,4,0,0,0,0,0,0,0,9,0,0
"Cell 32",18,23,34,41,44,10,29,15,22,26,13,6,26,28,9,10,8,21,9,102,29,35,17,10,27,12,14,1,5,5,0,16,22,11,3,16,10,18,26,1,17,7,18,14,13,10,0,0,9,0,4,2,0,13,0,0,0,19,15,24,8,0,2,6,0,3,0,8,0,0,0,1,3,2,27,3,0,10,0,4,5,0,9,6,0,1,5,18,0,7,0,0,0,0,0,0,0,0,0,0
"Cell 33",36,35,27,26,10,11,31,3,55,5,33,29,10,10,0,21,15,19,33,87,26,27,5,22,30,8,0,13,21,8,1,18,9,17,0,5,16,36,39,4,5,12,8,8,3,10,6,3,9,0,6,0,0,8,0,3,2,9,10,26,20,0,8,4,0,0,5,0,0,0,4,6,0,0,21,2,0,1,0,5,9,0,3,12,0,3,9,13,0,1,0,0,0,0,0,0,0,0,1,0
