"","Gene 1","Gene 2","Gene 3","Gene 4","Gene 5","Gene 6","Gene 7","Gene 8","Gene 9","Gene 10","Gene 11","Gene 12","Gene 13","Gene 14","Gene 15","Gene 16","Gene 17","Gene 18","Gene 19","Gene 20","Gene 21","Gene 22","Gene 23","Gene 24","Gene 25","Gene 26","Gene 27","Gene 28","Gene 29","Gene 30","Gene 31","Gene 32","Gene 33","Gene 34","Gene 35","Gene 36","Gene 37","Gene 38","Gene 39","Gene 40","Gene 41","Gene 42","Gene 43","Gene 44","Gene 45","Gene 46","Gene 47","Gene 48","Gene 49","Gene 50","Gene 51","Gene 52","Gene 53","Gene 54","Gene 55","Gene 56","Gene 57","Gene 58","Gene 59","Gene 60","Gene 61","Gene 62","Gene 63","Gene 64","Gene 65","Gene 66","Gene 67","Gene 68","Gene 69","Gene 70","Gene 71","Gene 72","Gene 73","Gene 74","Gene 75","Gene 76","Gene 77","Gene 78","Gene 79","Gene 80","Gene 81","Gene 82","Gene 83","Gene 84","Gene 85","Gene 86","Gene 87","Gene 88","Gene 89","Gene 90","Gene 91","Gene 92","Gene 93","Gene 94","Gene 95","Gene 96","Gene 97","Gene 98","Gene 99","Gene 100"
"Cell 1",24,31,24,27,10,11,18,13,39,2,19,23,21,1,0,16,11,7,26,76,38,27,6,16,22,11,4,7,9,23,0,16,1,13,0,2,9,21,39,10,10,2,11,5,5,1,3,4,19,0,2,0,0,6,0,4,1,22,6,15,20,0,8,10,0,0,5,0,1,0,9,5,0,0,15,5,0,5,0,6,1,0,1,13,1,1,10,23,0,1,0,0,0,0,0,0,0,0,0,0
"Cell 2",17,32,10,17,11,9,37,11,28,11,20,32,14,2,1,21,15,8,15,53,42,23,7,3,21,14,7,16,28,4,0,10,13,24,0,15,17,21,16,9,15,18,11,14,8,5,0,8,10,2,1,0,2,17,2,0,6,14,21,40,14,0,14,7,0,0,8,0,8,0,15,0,4,0,9,7,0,16,0,8,0,0,2,7,0,0,8,19,0,7,0,0,0,0,0,0,0,0,0,0
"Cell 3",13,21,11,34,14,9,24,3,36,5,19,12,27,9,0,7,12,26,13,64,23,49,3,27,40,11,7,5,14,7,0,10,8,18,0,3,7,28,27,13,28,4,14,6,5,2,0,11,23,0,6,0,0,15,3,9,0,30,10,23,6,0,11,6,0,0,3,0,0,0,5,9,0,0,15,8,0,0,0,18,3,0,3,8,0,3,14,21,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 4",34,19,17,21,17,7,51,11,48,7,16,9,35,10,1,12,15,6,14,101,37,27,9,15,21,7,6,13,7,13,0,12,6,11,1,7,13,20,32,9,11,10,7,6,5,15,5,7,8,0,5,0,0,3,0,0,6,16,9,18,21,0,3,7,0,0,5,0,0,2,11,0,0,0,9,13,0,5,0,3,0,0,1,2,0,0,7,18,1,6,0,0,0,0,0,0,0,0,0,0
"Cell 5",31,35,19,49,25,18,32,11,26,10,25,20,15,13,1,11,23,20,13,66,38,38,7,7,32,6,7,10,10,17,0,3,5,23,0,11,6,27,23,12,7,5,9,16,11,4,0,4,12,0,5,0,4,10,7,12,6,18,16,26,8,0,0,6,0,5,2,0,3,0,16,1,0,1,21,3,0,2,0,1,0,0,1,16,0,0,5,6,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 6",24,48,29,25,6,4,15,24,24,2,25,17,10,3,0,27,22,9,26,82,28,25,9,9,17,5,0,3,21,19,0,12,5,18,0,8,15,14,36,13,13,17,9,7,2,4,3,6,6,6,4,0,0,10,0,3,4,15,7,27,24,0,9,7,0,0,4,0,5,0,12,0,4,0,23,6,0,4,0,9,0,0,3,14,1,0,9,14,0,0,0,0,0,0,0,0,0,0,1,0
"Cell 7",23,22,28,41,19,11,38,6,53,23,19,26,21,17,0,14,17,17,22,91,22,19,1,21,28,9,9,3,10,10,0,7,1,28,2,7,3,30,36,5,11,13,20,9,2,10,1,7,9,0,4,0,0,10,3,3,8,26,12,30,21,0,8,5,0,0,0,1,0,0,10,8,4,0,18,0,0,2,0,1,7,0,9,1,0,0,8,19,0,2,0,1,0,0,0,0,0,0,0,0
"Cell 8",15,25,23,11,17,23,29,13,61,9,19,14,10,11,2,18,16,11,14,48,19,29,7,16,39,10,15,3,8,13,0,9,10,15,0,16,18,31,34,11,16,7,6,10,12,4,0,12,9,0,5,0,0,14,0,0,4,19,18,36,15,0,6,6,0,0,2,0,0,0,4,0,2,0,14,8,0,6,0,6,3,0,9,10,0,0,12,14,0,9,0,0,0,0,0,0,0,2,0,0
"Cell 9",19,38,15,27,40,5,19,18,33,22,13,9,18,19,4,10,29,9,13,74,34,22,16,17,35,8,11,3,14,12,0,4,19,16,0,21,14,15,22,7,12,12,3,17,16,3,0,4,9,0,6,1,0,19,1,0,5,23,14,47,10,0,1,16,0,0,0,3,7,0,6,1,1,0,24,1,1,4,0,0,0,0,4,14,0,0,3,20,0,12,0,0,0,0,0,1,0,0,0,0
"Cell 10",24,35,25,13,21,21,17,8,30,7,27,15,21,8,0,15,16,14,18,72,21,24,2,11,16,4,10,17,19,10,0,6,6,21,1,4,12,36,43,8,6,12,7,7,30,4,0,3,9,2,4,0,0,10,0,4,3,17,13,33,17,0,20,7,0,0,5,0,1,0,3,3,1,0,27,7,0,1,0,11,1,0,10,8,0,1,5,9,0,2,5,0,0,0,0,0,0,1,1,0
